mercader camino regreso atravesar
esperar perder peso ganado
ficha blanco todo pintado
color ojo sorprendido pandorar
cosa escribir ruleta cada
diente hombre tanto largo
roca árbol nadie poder
malbrujo director escuela idea
videojuego rápido tablet mano
burro si crees pan
voz responder llamado voz
anansi sudar puercodijo gallín
acumular recuerdo viaj nac
responder ayudado así hacer
pedir él tigre dejar
patito feo sino apuesto
siringuir instrumento viento similar
agradable sombra árbol relajante
di comida camo dormir
tres frijolito mágico traer
descubrimiento interesante pequeño sofía
extrañado nunca visto superniño
anansi acercar elefante llevar
embargo mono ingenioso pensar
mal aunque dijerar miedo
después año esperar reina
favorito siguiente carrera pobre
medio dormido bostezar mientras
premio discurso sorpresa solo
hacer él realidad lobo
apolo demostrado claro superioridad
campesino llegar burg niedeck
aquí allá hermosa flores
locomo dos joven aprendiz
bromo discusión proseguir grito
ser famoso sinvergüenza deber
noche empezar recortar palabra
intrigado hacer llamar regalado
anciano esposa lujo privilegio
marchar él entrar establo
emocionado ver enorme piedra
luz dar alegría esperanza
anciana tirar cintura anciano
ayudara efecto luz sonido
casa mirada perdido oscuridad
juguete madero niño pueblo
hecho mandar decir tras
sentir tanto acalorado quitar
albertín arrancar oreja izquierdo
manera hacer difícil prestar
abuelo viejo despistado entrometido
dormir hambre escuchado conversación
completamente rodeado muro piedrar
gigante egoísta asomar él
excesos gente país comidar
relamía pensar fabulosa cena
barba flamenco preparar luchar
joven león quedar acompañar
amor incomparabl poeta enamorado
pequeño pico pico oreja
juan ten cuidado caldero
pata uno placa plomo
propio papá noel aparecer
pata anansi mismo vez
salvar día comprender ser
así descubrir siempre dicho
ratón tamaño perfecto acceder
tener hijo contar valentía
siempre ver cigarra descansar
dar él cuenta hecho
acto bondad anciano difuntir
leyenda africano hombre habitar
azul dar medio vuelta
día siguiente huno tomar
feliz nuevo jamás volver
destrozado tanto cubierto moretón
escribir historia pequelibro regalar
menos verdadero niño simón
esconder él ver horrible
querer siempre observar regla
fin decir gigante saltar
palmera crecido junto agua
tanto corto pasado tanto
hallowear ahora quién poder
olor exquisito hacer agua
mientras padre descanso tesoro
realidad heroico rayo fuego
dormir dar él fuerte
encontrar hombrecillo pelo gris
pescador creer tratar bromo
gesto triste soler hacer
padre volar alto inmensidad
boca niño olvidir lavar
tanto herido insistir acompañar
solo plataforma ninguno aparato
principio apenas notar tiempo
allí flop regordete tanto
llama polillo volar cada
decir brujo penoso hechizo
asomar césped apenas ver
moer montaña cubrir triste
este saltar alcance decir
maripós delante decir tanto
don pepo tanto sorprendido
barba blanco saco enorme
descubrir entonces pata pequeñitar
embargo curiosidad pandoro apoderar
orimón pensar presencia ahuyentar
quedártelo usar él quieros
aplauso grito ánimo nadie
promesa grande tesoro canción
hermanastra reír parar entonces
papel todo forma color
listo sobrín decir eleonoro
dormido abrazado medio deshecho
pueblo enterar noticia acudir
deber sonar oh higuera
palabra mamá cerdita decidir
bestia decidir dejar él
oído emperador hijos majestad
buen día pato zapato
después repartirlo apenas consegu
pequeño parte mágico polvo
convertir mejor día oasis
olmo esperar ansiosamente ser
cosa manera hacer crecer
dar cuenta aquel poder
evento atraer persona rico
elefantar finalmente montón hierro
plan funcionado decidir ir
niño aquel día bárbaro
luz 2 hermoso hijo
finalmente regresar buscar cabra
quién formar jurado cucaracha
entonces entrar sala hombre
amigo dónde encontraste pescado
misa dorotear puerca pensar
cangrejo mal carácter habilidoso
modo querer darte oportunidad
sol sol 87 año
probar avén taza pequeño
vecino día siguiente buen
preguntar tigre sonrisa grande
grito casi salir boca
después yonk perder primero
reino país entrar guerra
tardar inventar manu llegar
fantástico pueblo visitado alegría
elegante además amigable educado
hacer noche anciano dormir
razón aún desconocido corazón
nadie pensar pequeño desgracia
capaz comer él hallowear
entusiasmado brujo correr guarido
mismo frecuencia resultar pasar
gallina fino pollito pito
aunque indígenar vez desconfiado
enterar noticia acudir casa
llevar lavar ropa limpiar
solo canasta lechuga comer
renegar aquel estúpido profecir
ahora juanito manzana lobo
miedo tirar ruleta 100
mantequilla mamá decir epaminonda
terminar cortar flor restante
rey llegué ser rey
vez niña nombre ana
decir juez oler tarta
visita tropezar niño contagiado
caer queso justamente bocar
municipal encontrar solución después
cabeza paco pensar ver
cuenta libro convertir mayor
vecino mirar ventana momento
pequeño cerdo debajo capa
arpa mágico sólo dispuesto
duda espíritu malvado tomar
viajar escondido siempre persona
casa anciano lugar jardín
mundo desaparecer saber poco
representar valioso poder regalar
movido curiosidad jack trepó
disfrutar llegar olvidar allí
ardiente sol arrojar acogedoro
radio conocer tiempo variado
dejaré guarde acompañar animal
agradecido cada abrazo hija
junto dos mujer decir
quedar dormido cerca chimenea
brutal mosquizampa probar moer
animal tanto grande sirviente
riquete copetir pues riquete
decir rey reina poder
perdido pasar día día
horror puerta habitación abrir
limpiar preparar cena regresar
año esconder él tras
madre creado enorme problema
hermosísimo lugar wu encontrar
pedir claudio ayudara efecto
mosca cómo defender él
después quebrantrisa recibir aviso
aquel espabilar tom momento
lejos eduardo salir escondite
llegar oír aquel conversación
nadie querer preparar él
peluche cantar canción infantil
ver completamente redondo brillante
cabeza anansi seguir arder
demasiado tiempo aislado así
montar gran revuelo torno
enfermedad envidio vanidad engaño
razón día hoy sapo
reír reír estallar risa
distinto lugar pillapilla convertir
rey selvir usé fuerza
par calzoncillo día hoy
aquel maravilla felicitar efusivamente
noble mujer dar trozo
vulgar corriente importar hacer
maestro decir ayudante mientras
pinzasloca solo cangrejo mal
confianzo habilidad social montón
arreglar invento entonces cada
esperar ratón pedir ayudar
elevar tal fuerza salir
bien envuelto va refrescar
si adelgazado seguir engordar
pensar eduardo justo enorme
caballo transportar nuevo poblador
piso dejar solo hombre
tener oro perla diamant
luz luciérnagar poder encontrar
rosal hermoso todo región
gritar abrir bien brazo
apenas agua planta agolpar
hacer brotar único flor
desinteresado alguno día niño
acto audiencia pensar bufón
conocido querido ciudad pues
capitán rayar locura amenazar
nadie atrevir acercar él
lío clase ciencia montón
moraleja resolver problema necesita
color rosa otoño dar
cambiárselo cohete auténtico casa
obra ganar tal fama
sánchez siguiente familia perder
cuatro pie convertirir futbolista
olimpo rey midas insistir
regalo magnífico descubrir piedra
intrigar ir agua elegir
piedra vivir aldea remoto
si hallar viejo amigo
abrir puerta corral llevar
bruto estropeado libro aceptar
pues riquete apellido familio
ahora poder entrar conocerno
descubrir nika llevar día
esperar así encontrar digno
ligero poder alzar vuelo
domingo temprano mañana mamá
allí tiempo colocar bien
cielir gritar bendito cielo
ver cazador apuntar palomo
suerte dar muerto decidir
gran mago decidir intervenir
sapo araña músico lobos
delicioso probar él llenar
ir llegar tiempo entonces
dar él ala alegría
grande cada ir él
último trabajo magnífico obra
vivido parecido viaje país
tanto lejos tardar mes
cerámico poder rompersele decir
josé pedir él marchara
aquel día pajarillo cantarín
escuela niño ir jugar
ver casa llegar noche
ficha blanco tanto distinto
luego dirigir hacia tocador
llevar él sandir rey
recuadro negro rojo amarillo
importante recibido montaña regalo
decir oh mosca insensatar
fuerte tanto malo suerte
miró camello sentir inferior
aquí siempre ordenar rey
ratón temblar solo verlo
mirar huevo tanto fresco
cargar varitos misteriosa fuente
fama comenzar recorrer mundo
poder liberar él problema
repente pasar elefante camino
manzana dudar ayudar pobre
intento fallido encontrar fantasma
pan decir almuerzo comar
seguido figura celestial desaparecer
púas eracer encendido cara
día pues saber canto
mal humor pues día
cuidar enorme cofre vacío
500 año existir hombre
juicio maría presentar juzgar
conocer animal sentir él
llegado noche lograr regresar
poder imaginar él gente
entonces tomar gran bocado
mostrar último trabajo magnífico
consejeros hacer rey poderoso
considerar aquel país fealdad
érase vez joven bello
dejar ser tanto terrible
todo fuerza fierezo servido
explorar lugar hoy partir
reconocer barba enorme viejo
protestar poner tanto histérico
tratar hablar él ayudar
pasta todo casa mundir
elija aquel gente parezca
mochilar tanto desordenado encontrar
encantar abrazo pulgar hacia
poder arreglar él decir
responder hansel voz tranquilo
seda fino saltar arbusto
creer alucinado pasar mismo
montón arruga aparecer cara
menor querer dar él
casa tigre tampoco volver
uno cuanta luciérnaga poner
escriba yo buscar cuento
bromeandodijo liebre mientras reir
convocar presencia antiem corte
profesor ciencia don estudiete
transformado tipo llamado albert
vea familia comprar regalo
tanto enredado retorcido vez
último casillo ficha negro
aguo velocidad insuperable ganar
ir correr si ocurrir
esperar devolver él burla
mismo querer dar él
premio concurso sino ganar
disponer cruzar puerta primero
vacío fácil engañarl tonto
librar él animal malo
rabo girándolo ventilador soltar
río lobo traer vuelta
salvaje aquel nunca ser
tanto pesado minuto decir
profecir saber obsesión dinero
entrar finalmente aprovechar hueco
solo admitir gente estudiós
amigo aquel pececillo tanto
desayuno demasiado caliente comer
dibujo aquel día colegio
aparecer hada madrín decir
él dibujo león tigr
limitar sacudir cabeza suavidad
ir ver él quitar
amigo ratoncillo tampoco gastar
enseñar padre busqué animalillo
feliz anhelar ser padre
ridículo troll sentir tanto
limpiar cuidar barco además
luchar apenas dedicar tiempo
encontrar frente frente ficha
atravesar infinita duna arena
muerte cada vez odiar
voz decir buena tarde
nadie saber resto princesa
ir acostumbrar yo lugar
llegar primavera país colorida
raro artilugio mientras explicar
venta paguen decir compraré
acerca pobre salud acostar
palabra tanto normal tanto
primero vista nunca hacer
pensar broma aún así
érase vez pavo real
ser siempre haber dejar
rápidamente verter sombrero poner
solo hombre tierrar proteger
felicímetro recibir verdad menos
persona cumplir año celebrir
camina encontrar ganso garbanzo
llevar todo carga decir
evitar visita tanto temible
peor libro mundo terminar
ir parecer propio alegría
saber papas crecer bajo
forma inteligente utilizar fuerza
mujer horneado barra pan
suerte cucaracho perdonar maripós
bobos ir ver rey
agua boca llenar emoción
pececillo hecho sentir ayudar
gustar hacer león ratón
poder caminar cualquiera pollo
saber ser aún pequeño
deambular errante mundo patar
roca crear paisaje bello
punto aplastar él escuchar
aunque niño nave supervelocidad
gran audiencia canto apreciado
intentar varios vez arrancar
gran barba blanco saco
tiempo finalmente decir cariño
año hacer cosa llorar
nuevo casita verdad ratúnez
máquina tiempo subir fuerte
increíblemente rica bella sabio
querer dar él cuenta
cada vez nacer alguien
suficientemente cerca bordar poder
tanto tonto montar guerra
doble embargo ahora saber
ar pequeño lágrima envidia
alguno tipo premio discurso
embargo llegar momento alcanzar
obligar sembrador secreto volver
simpático además mejor juguete
puro casualidad anoche después
igual protegido alguno magia
grande todo decir abuela
quedar esquina contemplar féretro
flotar aire hacer círculo
isla tanto fuerza capitán
mujer decir mirar hombre
alegra descubierto ahora poder
don pepo responder aunque
alemania repós ciudad paisaje
tanto fresco delicioso traser
color oscuro tinto pulpo
leer antiguo fabuloso tesoro
poner jugar animal día
rellenar hendijos ancho pico
importancia tanto extraño apariencia
jilguero cantar afuero ventán
él elegir peor huno
hueso exigir pago prometido
vez niño llamado jack
yo tanto grande papá
piedra grande empujar todo
seguir cantar jugar invierno
gaviota decir ícaro tir
anansi todo araña mundo
mientras princesa devorar perdiz
pájaro atrapado jaula diminuto
cualquiera dos estafador acercar
lágrima emocionado ángel hado
largo jornada trabajo campesino
cosa mil punto felicímetro
si patitar corta justo
recreo convertir lugar mejor
él cara brazo comenzar
si dar pastel leche
día campesino dirigir pequeño
tierra decir insignificante criatura
sino poder hacer cosa
hombre poder liberar él
león querer reino así
perico lleno alegría bajar
convertir semana semana mes
convertido magnífico dibujante músico
colorida cola grulla admirar
nadie pueblo volver saber
aventura primero día magos
dios zeus furioso titar
acabar devorado insignificante arañar
tierra armiño menos rápido
vacío llevar tiempo tener
dedicar demostrar poder ganarme
ping comenzar llamar él
tablet destrozar muro tocar
único poder hacer él
observar comadreja regar cultivo
enamorado poner tiempo dedicación
isla escocesa gigante nombre
capa formado recuadro negro
todo vela formar gran
risa mientras ver aldea
agarrar cuidado arrancar ensuciar
protestar pensar bromo discusión
alegre decidir ayudar niño
trompa canasto lleno deliciosa
poblar comprobar millón año
libro tanto gordo llenar
padre saber si posible
deber contento ir ahora
solicitud árbol llamándolir nombre
dar torto hecho agua
verdaderamente especial verdad sentía
air golpear puerta ventana
hija acerca encuentro bestia
lavar él diente ir
notar pluma dejar libertad
hacer persona listo decidir
oril él río norte
pretendient falso acercar conseguir
ratón mientras revolver olla
él luego mono poder
hecho decir mujer medir
cuyo mármol brillar joyo
terminar docena red despertar
él propio diversión hacer
efecto luz sonido coro
pasar hormiga enorme grano
miedo llenar corazón tanto
entonces dar cuenta ser
mejor idea encontrar forma
acabar boca niño olvidir
arreglar tejado cobrar solo
aburrir saltar emoción hacia
lugar devolvérselas ofrecer enseñar
huevo grande permanecer intacto
secar dragón arreglar desastre
hacer ver bueno hermoso
rey correr habitación saludar
niño poblar comprobar millón
tocar hacer cosa mismo
demá tanto feliz merez
hacer pequeño redacción contarar
niño llamado jack vivir
papás sumar aquel moda
través ventana enorme tallo
antigua quedar bonito destrozar
crearer club a él
cuna actuar bebé pastel
conejo ir casar él
único frase escrito primero
hacer nuevo pregunta tratar
llorar desconsolado alegría transformado
así hablar aquel dos
a él grande obligar
responder quiero toque convierta
vez arrancar él atascado
traer enorme fortuna decir
observar truculenta araña correr
zorro guiar montaña arriba
hacer cosa bailar cantar
yo decir voz tanto
gran banquete ir dar
cruel tardar ir ratón
mago poder usar magia
ogro subir puente cabrito
tanto gustar necesitar pequeño
idea exterminar molesto roedor
salida si esforzar suficiente
ambos punto terminar secundario
cuanto comenzar obra llenar
rey sentir agradecido cada
pastel helado chocolate siempre
comprender cantar nunca superar
encantado cualquiera decir palabra
gravemente decir sollozo jaime
celebrar decisión sabio rey
caminar aquí allá buscar
poseer alguno título noblezo
gustito saber difícil libro
aguantar siempre tanto feliz
fila niño tanto largo
él canción gran descubrimiento
tampoco pasteleer tanto cerca
suelo dichoso poner pensar
primero halón piel ovejo
hacer amable solicitud árbol
lanzar primero bocanada fuego
atrás hijo granjero tener
vivir cocina enorme casa
gigante fruncir ceño sacudir
real soler compartir palacio
hacer nevar hacia arriba
inventar pequeño melodía cantar
muro castillo acercar lugar
reclamar prometido decir rán
razón día hoy manchar
llevar pata caballo marrón
comer manchar él pelaje
hacia atrás marciano hacer
rato pequeño luz aparecer
hechizo sombra criatura noche
hachazo torrar derribar él
comenzar impacientar él visitar
ficha aquel feroz guerra
mujer bello mundo decir
hervir olla desprender olor
encadenar cueva anciano mago
oro llegar casa oso
estafador acercar emperador manifestar
ping agachar cabeza decir
ir renunciar decidir cargar
afirmar día nacimiento enemigo
cubierto sábana nadie echar
reino invitadas ceniciento feliz
mundo esperanzado enviar mensaje
rán mejor forma aprovechar
juguete especial ruleta gran
ahora tocar hacer cosa
pasar muchísimo miedo menos
alto mango pequeño mientras
mamás escacharrada verdadero locura
fiesta madrastrar hermanastra decir
atacado ninguno niño malvado
cuento princesa jamás entrado
dragón mirar asombrado empapado
llevar puerca habitación mamá
día llegar oído emperador
menor agotar completo dejar
terrible miedo dar todo
víctor poner él medio
león descansar bajo sombra
junto borde acantilado separar
fin tanto difícil situación
pez pasar fácil siguiente
navidad maría hacer llamar
tanto ir completar inventillo
dar abrazo convertir hermoso
encontrar río enseñar ser
conejo ir colina arriba
tanto torcido entender decir
uno gota nuevo poción
viaje continúar aunque surcar
siempre sitio perfecto cualquiera
claramente lugar juzgar mala
llevar prejuicio fama inmerecida
robar él bocadillo niña
tío correr ver vendedor
tormenta alguno maldición perdido
mar apenas despedir él
tanto acalorado quitar abrigo
aquel momento recordar llevar
pirata sabio famoso barco
mientras abuelos crecer pelo
aquel feroz guerra dudar
burla correr ser amigo
traición ordenar príncipe vivir
magnífico inventor chiflado inventado
madrín regalar perrito lindo
importancia tener ordenado incluso
jardín vivir maripós bonito
preguntar cinta responder evasiva
hombre develar monstruoso diente
aires comenzar aplastar él
esperar llegue muerte solo
superar rabia dónde ir
ayudante gracias expectativa producir
vez astuto campesino dueño
rey diferente enterar él
abrir ojo si descubierto
así siempre tocar lejos
mismo pasar fama sucio
canción recordar aquel barco
quedar aquel perro dar
refugiar bajo tierra armiño
quedar entonces solo amigo
haré creer sandía poder
hacer varios vez aunque
tiempo lluvia niño llegar
caballero librar buen porrazo
favor dime cómo encontrar
aprender trabajar lograr sueño
manera noche trepó alto
araña mundo ocho pata
atreveír hablar incidente papel
peligro vida demá así
ver cosa distinto aterradora
u 8 vez importar
entrado libro tanto delgado
visita tanto temible enemigo
tiburón sentir elevar aires
malvados esconder reina secuestrado
mariposa ir confiado ver
cambio salvar vida daré
notar cómo lobo mirar
ola videojuego consola apps
subir estantería lápiz saltar
cohete papel averiado resultado
pues poder unir yo
siquiera saber vivir palacio
divertir preguntar dicho ratón
hombre mitad cabrar llamar
deseo crecer convertir mujer
llegar luchar ninguno derrotado
todo cosa preparar nacimiento
día jugar cohete nuevo
señalar dormitorio huéspedes decir
comérselo atacado ninguno niño
difícil puerta tanto ir
rana sumergir estanque abrir
abuelo deberías darte crema
pensar dar vuelta cartel
radiografíar luego tapar tanto
saltar ventana esconder dentro
ir decidir investigar sánchez
vecina necesitar eligierar mejor
menudo sorpresa ir llevar
preso curiosidad caminar cuanto
razón parecer pegar niño
correr calle echar él
perla diamant traje elegante
manu poder dar elixir
dar patado niño haciéndolo
encontrar mil pluma flotar
deuda viviremos tranqui él
debí pensar devolver él
impaciente impulsivo pegar compañero
silla mecedoro llamar hija
fino oído gran utilidad
hora cada animal poder
comenzar hacer castillo aire
bello isla puerto rico
enfermedad hacer tanto triste
suerte pues prometido cuidar
rosal arrancar rosas intención
exactamente 857 entrar puerta
tiempo tardarar tocar persona
decir hijo único ser
dejar él fortuna querer
así asustar amenacer cuanto
huevo encontrar canasta mismo
ratón ciudad sorprendido pobreza
hacer preocupado siquiera saber
ratón fundado ciudad vivir
fallido intento fracasado llegar
celebrir fiestar mañana nadie
dar cuenta enorme ola
pequeño casa anciano lugar
tantísimo trabajo recordar propio
reír ver rostro enojado
pin nunca dejar duende
servir exquisito plato tras
él ojo anansi iluminar
cabo mes hija descubrir
efecto conseguir enfadar príncipe
anunciar recompensaría generosamente ocurrir
dar cuenta broma mal
profundidad bosque puntir dar
pelo cabeza cepillar calir
ser peor libro mundir
abrir pico par par
portazo cerrar pasteleer salir
animar buscar tesoro compartir
día importar él golpe
milo salir temprano decidido
encima veinte colchón poner
entonces campesino plantar maíz
ramar todo fuerza evitar
él auténtico duendecillo felicidad
acercar hombre desconocido preguntar
cuarto secreto limpio recogido
molino hijo mayor asno
llevar hija carpintero habitación
colchón poner veinte edredón
sala juzgado guardar silencio
problema necesita mucho calma
nivel inteligencia así armar
dos gallina fino pollito
ganar dios música propio
fresco así pescar cazar
caso hermano amigo tanto
él alegr preocupar él
saber cuál funcionario apto
solo poder defender él
pena ver cigüeña tanto
nubes trepar cielo tener
doctor dibujo mejor cirujano
cambiar puesto simón terminar
zapatero espós sentar junto
aquel tesoro orgullo ipap
palabra salvaje aquel nunca
rabia dónde ir decidir
vez viajero después recorrer
fatal hacer impedir él
furioso tratar golpear niña
puntita pata trasero apoyémono
formir fila ordenado decir
jardines día dar recital
conocer él ninguno foto
pronto llegar vecino lágrima
luego desatar ira provocar
prometer enviar hija castillo
ir repartir tesoro emprender
loplanto mismo hambre anterior
caballir ser egoísta hacer
seguir igual hacer muchísimo
casi alcanzar cielo persona
lleno frijol labio tía
arpa mientras pan tocar
blanco escarcha pintar plateado
aparecer nuevo niño niña
dragón suficientemente grande provocar
tiempo aquel ciudad sólo
entonces rán proponer tratar
diseño poner trabajar inmediato
arrancarla acariciar cantar rato
enfadar príncipe cada vez
contemplar ola divisar staffa
globo explotar derrumbar paredes
mañar encontrar príncipe volver
araña pata corta grueso
encontrar poco paso línear
finalmente llegar día llevar
jardín crecer todo clase
dos hombre mujer niño
vivir palacio habitado humano
entrar castillo liberar allí
vacío caminar hacia palacio
reunir alcalde miembro concejo
pájaro pata pintada negro
cubrir pata uno placa
troll comenzar maravillar él
único opción dejar asustar
deber cruzar bajo puente
solo querer lán querer
enviar fantasmal sembrador secreto
escultor troll solo necesitar
marqués carabás primero nombre
bajo poner malo cara
alarmado hombre arrodillar comenzar
quedar mágico aquel hombre
salir boca así día
hexagonal encontrar costa construir
aunque tal vez gustar
lanzar viento ventana torrir
deber dejar rana quedar
aquel hombrecillo delgado seguro
esperar tener historia contar
largo camino encontrar ganso
ser rey después llenar
pequeño herida ahora todo
puerta cualquiera cosa quebrantrisa
así empezar batalla terrible
quitar ojo quedar ceremonia
dejar solo así dios
descontento pueblo exclamar hazaña
reflejo agua creer ver
detestar cocinar dejar venta
finalmente padre decir anda
ayudar conocer animal sentir
huerto comadrejo partir él
allí aunque insistir solo
solo grito madre niña
poner él sal platillo
cueva adentrar él descubrir
pellizco quitar gana volver
supuesto nadie pensar pequeño
año apenas recibir uno
mañana burg niedeck quedar
terminar alicia olvidado dibujar
trim trum reino escuchar
entonces cada año recibo
cómo diferenciar sorpresa secreto
campo hermoso caballo perro
cultivado frotar cualidad excepcional
abuela tribu ojibwa tejer
sentir cansado hambriento responder
poder desplazar él tierra
ver plan funcionado decidir
él saber invitar almorzar
volver participar concurso belleza
mirar nadie ángel asomar
miedo grito aún así
rey midas insistir acompañar
tono amenaza provocación entonces
gastar detrás seguir pájaro
cuerdar atar extremo alrededor
maccool aguerrido gigante irlanda
preparado casar chico bajito
truco tanto furioso tratar
romper llorar felicidad tanto
él salvar día comprender
cara anansi comenzar correr
entrar conocerno admirar sabiduría
luego comer él él
ver espinaca sentir anhelo
devolver él buitre amigo
manu robado elixir hechizo
ayudar niño cualquiera persona
pinzasloca colgado dedo salir
aullido dolor sonido entristeceír
tanto divertido apenas tirar
ninguno oveja notar presencia
acudir tanto gente despedir
ver alguien aspecto delincuente
paso sonido hacer fuerte
disponible querer utilizarla abandonado
noche anterior nacimiento celebrar
oh naranjo oh naranjo
pequeño sentar silla frágil
volar cada vez cerca
llevar poquito luz mundo
ciudad llevar ratón campo
menudo comentar dónde sacar
aquel convertir escudo tom
listo gente querer jesús
zeus ordenar herm llevar
cómo claro vuelto elegir
pasar salir huir allí
lleno chatarra cosa viejo
agarrándolo rabo girándolo ventilador
aquel débil comenzar impresionar
conseguir enseñar él alicia
explotar mil pedazo dejar
cosa gigante poder hacer
soplar llenando él felicidad
niño triste dispuesto convertir
brujo tonto miedo pasar
oficial sabán todo parte
mal humor príncipe desaparecer
robar entero queso luego
lucir bien ir misa
animal bosque ignorar palabra
entregué cocinada poder crecer
especial araña alejar tejer
dorado fruto jardines jardín
parar puntita tomar pata
tiempo tir plantar maíz
rumor casa lleno riqueza
mal tratado amigo juguet
malvado seguir hechizar lengua
día cosa comenzar marchar
dado cuenta ocurrido casualidad
frente frente ficha blanco
saber fip igual odio
niño averiguar dónde salir
él único oportunidad poder
mano decir exasperado poder
además ser rápido comeré
hacer él radiografía cigüeña
responder contar alguno día
miedo entonces dedicar fabricar
repartir semillos flor niño
quedar niño atrapado corazón
decir esmeralda esmeralda promesa
admirar solo obedecer miedo
nievir enjambre abeja blanco
llenar alegría saber grande
contestar desprecio si dar
marchar mal leche agreír
regalo cambiaría historia hombre
encargado impresionant magnífico arcángel
ganar carrera liebre decidir
ser malo tomárselo serio
echar yo mano palacio
jugar llegar laboratorio secreto
cada niño vivir duendecillo
agujero base soplar suave
trozo pan vaso leche
responder niño quier chocolate
bosque escuchar aullido dolor
cada vez oía palabra
decir lograste engañar yo
hacer protestar escuchar nadie
idir escuela siquiera saber
encontrar él país lejano
amanecer mientras panadero hornear
perro gallina ratar ratón
problema salud hundir reino
saber atrapar pájaro colocar
pez acudido comer aquel
graznido cada vez hablar
día quetzalcóatl llegar cima
llegar cielo ver belleza
acabar discutir escritor aquel
víctor niño cada vez
campesino bien dejar colina
esclavizar dragón terminado odio
cocín sala comedor baño
hacer sirvient robar verdadero
moneda oro demasiado pago
propio chilla descubrir comenzar
mirar él espejo descubrir
hijo creer nunca ir
alguno día llegu necesitar
rana paco quedar fascinada
oso ricito oro sala
oro quedarás habitación siempre
quebrar él suficientemente largo
máquinar crear princesa confirmar
s dejar dormir hacer
princesa fin día cuento
generosamente mundo desaparecer saber
supuesto pensar pegar él
mil lengua ciudad después
resultado terminar convencer papás
lleno riqueza tanto fácil
persona incapaz ver él
zepir rete siempre ser
interesante pequeño sofía descubierto
art hera hacer regalo
libro evitar acabar pinta
cuidado plantar semilla emperador
después ejército emperador llegar
comer hierro rojo vivo
responder cerdo chillido patada
convencido ser mejor tres
claro posible señalar mercader
claro cuanto trolitar empezado
nuevo maestro comenzar dar
decir mosquito cómo atrev
enfermera doctor máquina costosísima
reino lejano padre madrastrar
si ir encantado cambio
llovido madriguero inundado armiño
atreverir reconocer allí si
demasiado ocupado hacer querer
día preguntar cuánto amar
tiempo remoto isla creto
relucient afilado diente tigre
alto delgado brillante ojo
llegar ser niño querido
entonces maría dirigir nevera
luego poner langosta fondo
magia sólo escondido matorral
orgulloso vivir tres hermosa
entonces pulpo recordar pececillo
pasar todo noche buscar
montaña quedar suspendido rama
pronto dar cuenta broma
solo dejar ridículo tesoro
emperifolla demasiado vecino decir
parque precioso columpio tobogán
común así poder explorar
momento enfrentar él palabra
gritar él capitán deber
tanto enamorado llevar él
decir presente presento nuevo
dificultad saber cualidad haer
marchar rápidamente buscar señor
extraño barrio encontrar familiar
conocer rumores casa habitado
hecho gran trabajo diez
descubrir anillo si quitar
sábana nadie echar menos
caminito casillas negro atravesar
rojo gran barba blanco
cuerda largo ató extremo
llegar cima colín tío
engaño nunca hacer exitoso
ratoncito quedar inmóvil sujetar
casillas blanco través reino
cocina metió mano olla
hogar cabrar lechugas escuchar
amigo aquel niño aquel
miró brillante ojo azul
él río norte alemania
aprovechar aquel libro tanto
hombre preocupado salud espós
madre ver pan molesto
campar tanto asustado sentir
paja oro último vez
llegar momento alcanzar sustento
voz sandir sembrar ñam
burg niedeck difícil alcanzar
joven ratoncito levantar decir
pescado poder esperar comérselo
musculoso parecer gigante señor
rán proponer tratar si
día hijo granjero intentar
ráfaga viento extremo abrigo
tesoro increíble cuidar mimar
vencedor subir alto gallinero
pronto luna brillar mágico
él nuevo vez acudir
bebé despierto mamá sánchez
dedicar esfuerzo salvar él
violín contigo decir sapo
cuervo pensar derribar jarra
tanto orgulloso hazaña dejar
dín ir vivir miniplaneta
ayuda oscuridad casi todo
vez pasar alguno pueblo
si vién mostrar cómo
poder deshacer palabra pronunciado
cielo allí esconder gran
caminar hacer él presa
todo forma color dedicar
niña entrenar preparar corazón
rey enojó hija menor
creer palabras gato dar
descubrir comenzar quedar él
grande risotada después navidad
bolsa lleno naranja grande
ratúnez harto obra siquiera
verir dudar ir tras
conocer embargo nadie conocer
saber cómo acabar apuntado
nadie rechazado magnífico operación
bueno embargo siempre andar
necesitar nuevo amigo aprender
gruñona histérica decir segurísimo
emocionante viaje caminito casillas
música sirena bombero estrellar
hacer comenzar llamar él
barco además mapas encontrar
igual fuerte cayerar cerdito
piel tornar gris abultado
feliz cantando noche día
rugido aterrador tío tigre
así poder pellizcar todo
ratón gris pasar huerto
miró caldero todo seriedad
intentar destruir alegría sánchez
viento fuerte hombre sujetar
viajero contestar cocinar exquisito
disfrutar jugar viejo cohete
tan lejos casa viejecitar
medio vida decir ver
continuar camino medio risa
crecer mientras volar casa
aquel casillo ficha negro
país colorida flor pajarito
descubrir enseguida elsar diferente
reemplazar él emperador pues
decidir vendar él pata
vez molinero pobre dejar
unir él animal saber
él primero tiburón sentir
hija mayor colocar montaña
fin así señor dado
único encontrar mil pluma
dar él fuerte abrazo
pobre animal dar comer
poder probar nuevo juego
suelo agarrar extremo cuerdo
vivir angustiado pensar cualquiera
volar prado posar punta
desterrar hija menor comparar
primero allí papá víctor
desatar lentamente apretado nudo
casi escondido libro distinto
director escuela idea final
hacer siglo lejano país
tiempo variado repertorio grillo
después gran ventarrón wu
